Kode Saham,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi
AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
ABBA,29,29,29,1,1.897.400,55.024.600,32
ABDA,0,0,3.800,= 0,0,0,0
ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
ACRO,77,70,71,1,3.437.100,252.257.100,274
ACST,95,92,92,3,1.100.500,103.015.300,147
ADCP,50,50,50,= 0,43.400,2.170.000,25
ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
ABBA,29,29,29,1,1.897.400,55.024.600,32
ABDA,0,0,3.800,= 0,0,0,0
ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
ACRO,77,70,71,1,3.437.100,252.257.100,274
ACST,95,92,92,3,1.100.500,103.015.300,147
ADCP,50,50,50,= 0,43.400,2.170.000,25
ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
ABBA,29,29,29,1,1.897.400,55.024.600,32
ABDA,0,0,3.800,= 0,0,0,0
ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
ACRO,77,70,71,1,3.437.100,252.257.100,274
ACST,95,92,92,3,1.100.500,103.015.300,147
ADCP,50,50,50,= 0,43.400,2.170.000,25
ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
ABBA,29,29,29,1,1.897.400,55.024.600,32
ABDA,0,0,3.800,= 0,0,0,0
ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
ACRO,77,70,71,1,3.437.100,252.257.100,274
ACST,95,92,92,3,1.100.500,103.015.300,147
ADCP,50,50,50,= 0,43.400,2.170.000,25
ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
ABBA,29,29,29,1,1.897.400,55.024.600,32
ABDA,0,0,3.800,= 0,0,0,0
ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
ACRO,77,70,71,1,3.437.100,252.257.100,274
ACST,95,92,92,3,1.100.500,103.015.300,147
ADCP,50,50,50,= 0,43.400,2.170.000,25
ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
AADI,9.525,9.150,9.200,= 0,34.171.200,318.038.532.500,21.506
AALI,6.250,6.200,6.200,50,211.000,1.311.320.000,324
ABBA,29,29,29,1,1.897.400,55.024.600,32
ABDA,0,0,3.800,= 0,0,0,0
ABMM,3.540,3.510,3.510,10,652.500,2.295.568.000,454
ACES,830,805,820,5,25.526.300,20.873.711.000,2.521
ACRO,77,70,71,1,3.437.100,252.257.100,274
ACST,95,92,92,3,1.100.500,103.015.300,147
ADCP,50,50,50,= 0,43.400,2.170.000,25
ADES,9.600,9.300,9.350,100,68.600,643.237.500,84
